Sector,Year,FDI(IN  Crores),FDI (IN US$ Million)
METALLURGICAL INDUSTRIES,2000,103.65,22.69
MINING,2000,6.03,1.32
POWER,2000,408.47,89.42
NON-CONVENTIONAL ENERGY,2000,0,0
COAL PRODUCTION,2000,0,0
PETROLEUM & NATURAL GAS,2000,42.71,9.35
BOILERS AND STEAM GENERATING PLANTS,2000,0,0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2000,0,0
ELECTRICAL EQUIPMENTS,2000,364.34,79.76
COMPUTER SOFTWARE & HARDWARE,2000,1043.29,228.39
ELECTRONICS,2000,38.1,8.34
TELECOMMUNICATIONS,2000,811.69,177.69
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2000,372.29,81.5
AUTOMOBILE INDUSTRY,2000,892.27,195.33
AIR TRANSPORT (INCLUDING AIR FREIGHT),2000,0,0
SEA TRANSPORT,2000,11.01,2.41
PORTS,2000,0,0
RAILWAY RELATED COMPONENTS,2000,0,0
INDUSTRIAL MACHINERY,2000,25.03,5.48
MACHINE TOOLS,2000,6.49,1.42
AGRICULTURAL MACHINERY,2000,16.63,3.64
EARTH-MOVING MACHINERY,2000,0,0
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2000,203.28,44.5
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2000,55.73,12.2
MEDICAL AND SURGICAL APPLIANCES,2000,24.76,5.42
INDUSTRIAL INSTRUMENTS,2000,4.61,1.01
SCIENTIFIC INSTRUMENTS,2000,36.86,8.07
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2000,0,0
FERTILIZERS,2000,0,0
CHEMICALS (OTHER THAN FERTILIZERS),2000,507.69,111.14
PHOTOGRAPHIC RAW FILM AND PAPER,2000,0,0
DYE-STUFFS,2000,4.8,1.05
DRUGS & PHARMACEUTICALS,2000,164.17,35.94
"TEXTILES (INCLUDING DYED,PRINTED)",2000,9.41,2.06
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2000,274.26,60.04
SUGAR,2000,0,0
FERMENTATION INDUSTRIES,2000,73.18,16.02
FOOD PROCESSING INDUSTRIES,2000,208.99,45.75
VEGETABLE OILS AND VANASPATI,2000,0,0
"SOAPS, COSMETICS & TOILET PREPARATIONS",2000,0,0
RUBBER GOODS,2000,0.46,0.1
"LEATHER,LEATHER GOODS AND PICKERS",2000,44.54,9.75
GLUE AND GELATIN,2000,0,0
GLASS,2000,154.72,33.87
CERAMICS,2000,18.41,4.03
CEMENT AND GYPSUM PRODUCTS,2000,309.34,67.72
TIMBER PRODUCTS,2000,0,0
DEFENCE INDUSTRIES,2000,0,0
CONSULTANCY SERVICES,2000,19.41,4.25
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2000,326.06,71.38
HOSPITAL & DIAGNOSTIC CENTRES,2000,0,0
EDUCATION,2000,0,0
HOTEL & TOURISM,2000,60.3,13.2
TRADING,2000,52.49,11.49
RETAIL TRADING,2000,0,0
AGRICULTURE SERVICES,2000,80.03,17.52
"DIAMOND,GOLD ORNAMENTS",2000,86.02,18.83
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2000,92.41,20.23
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2000,0,0
COIR,2000,0,0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2000,0,0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2000,111.14,24.33
MISCELLANEOUS INDUSTRIES,2000,3800.9,832.07
METALLURGICAL INDUSTRIES,2001,67.43,14.14
MINING,2001,31.09,6.52
POWER,2001,3612.23,757.44
NON-CONVENTIONAL ENERGY,2001,0,0
COAL PRODUCTION,2001,0,0
PETROLEUM & NATURAL GAS,2001,1006.59,211.07
BOILERS AND STEAM GENERATING PLANTS,2001,0,0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2001,0,0
ELECTRICAL EQUIPMENTS,2001,313.61,65.76
COMPUTER SOFTWARE & HARDWARE,2001,2000.07,419.39
ELECTRONICS,2001,59.47,12.47
TELECOMMUNICATIONS,2001,4164.43,873.23
